,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Tot Deaths/1M pop
147,Uganda,53,0,0,0,3,50,0,1.0,0.0
148,French Polynesia,51,0,0,0,0,51,0,182.0,0.0
149,Sint Maarten,50,0,8,0,3,39,2,1166.0,187.0
150,Bermuda,48,0,4,0,25,19,2,771.0,64.0
151,Cayman Islands,45,0,1,0,6,38,0,685.0,15.0
152,Macao,45,0,0,0,10,35,1,69.0,0.0
153,Gabon,44,0,1,0,1,42,0,20.0,0.4
154,Bahamas,42,0,8,0,5,29,1,107.0,20.0
155,Guyana,40,3,6,0,8,26,3,51.0,8.0
156,Zambia,40,0,2,0,28,10,1,2.0,0.1
157,Guinea-Bissau,38,2,0,0,0,38,0,19.0,0.0
158,Liberia,37,0,5,0,3,29,0,7.0,1.0
159,Benin,35,0,1,0,5,29,0,3.0,0.08
160,Eritrea,34,0,0,0,0,34,0,10.0,0.0
161,Tanzania,32,0,3,0,5,24,0,0.5,0.05
162,Saint Martin,32,0,2,0,11,19,5,828.0,52.0
163,Haiti,31,0,2,0,0,29,0,3.0,0.2
164,Myanmar,28,1,3,0,2,23,0,0.5,0.06
165,Libya,24,0,1,0,8,15,0,3.0,0.1
166,Antigua and Barbuda,21,0,2,0,0,19,1,214.0,20.0
167,Somalia,21,0,1,0,1,19,0,1.0,0.06
168,Mozambique,20,0,0,0,2,18,0,0.6,0.0
169,Angola,19,0,2,0,2,15,0,0.6,0.06
170,Sudan,19,2,2,0,2,15,0,0.4,0.05
171,Syria,19,0,2,0,4,13,0,1.0,0.1
172,Maldives,19,0,0,0,13,6,0,35.0,0.0
173,Equatorial Guinea,18,0,0,0,3,15,0,13.0,0.0
174,Laos,18,2,0,0,0,18,0,2.0,0.0
175,New Caledonia,18,0,0,0,1,17,0,63.0,0.0
176,Dominica,16,0,0,0,5,11,0,222.0,0.0
177,Fiji,16,0,0,0,0,16,0,18.0,0.0
178,Mongolia,16,0,0,0,4,12,0,5.0,0.0
179,Namibia,16,0,0,0,3,13,0,6.0,0.0
180,Saint Lucia,15,0,0,0,1,14,0,82.0,0.0
181,Curaçao,14,0,1,0,7,6,0,85.0,6.0
182,Grenada,14,0,0,0,0,14,2,124.0,0.0
183,Zimbabwe,13,0,3,0,0,10,0,0.9,0.2
184,Botswana,13,0,1,0,0,12,0,6.0,0.4
185,Malawi,12,3,2,1,0,10,1,0.6,0.1
186,Saint Kitts and Nevis,12,0,0,0,0,12,0,226.0,0.0
187,St. Vincent Grenadines,12,0,0,0,1,11,0,108.0,0.0
188,Eswatini,12,0,0,0,7,5,0,10.0,0.0
189,Chad,11,0,0,0,2,9,0,0.7,0.0
190,Greenland,11,0,0,0,11,0,0,194.0,0.0
191,Seychelles,11,0,0,0,0,11,0,112.0,0.0
192,Belize,10,0,2,0,0,8,1,25.0,5.0
193,Suriname,10,0,1,0,4,5,0,17.0,2.0
194,MS Zaandam,9,0,2,0,0,7,0,0.0,0.0
195,Nepal,9,0,0,0,1,8,0,0.3,0.0
196,Montserrat,9,0,0,0,0,9,1,1803.0,0.0
197,Cabo Verde,8,1,1,0,1,6,0,14.0,2.0
198,Nicaragua,8,1,1,0,0,7,0,1.0,0.2
199,Turks and Caicos,8,0,1,0,0,7,0,207.0,26.0
200,CAR,8,0,0,0,0,8,0,2.0,0.0
201,Vatican City,8,0,0,0,2,6,0,9988.0,0.0
202,Sierra Leone,8,0,0,0,0,8,0,1.0,0.0
203,Mauritania,7,0,1,0,2,4,0,2.0,0.2
204,St. Barth,6,0,0,0,1,5,0,607.0,0.0
205,Bhutan,5,0,0,0,2,3,0,6.0,0.0
206,Falkland Islands,5,0,0,0,1,4,0,1437.0,0.0
207,Gambia,4,0,1,0,2,1,0,2.0,0.4
208,Sao Tome and Principe,4,0,0,0,0,4,0,18.0,0.0
209,South Sudan,4,0,0,0,0,4,0,0.4,0.0
210,Western Sahara,4,0,0,0,0,4,0,7.0,0.0
211,Anguilla,3,0,0,0,0,3,0,200.0,0.0
212,British Virgin Islands,3,0,0,0,2,1,0,99.0,0.0
213,Burundi,3,0,0,0,0,3,0,0.3,0.0
214,Caribbean Netherlands,2,0,0,0,0,2,0,76.0,0.0
215,Papua New Guinea,2,0,0,0,0,2,0,0.2,0.0
216,Timor-Leste,2,0,0,0,1,1,0,2.0,0.0
217,Saint Pierre Miquelon,1,0,0,0,0,1,0,173.0,0.0
218,Yemen,1,0,0,0,0,1,0,0.03,0.0
219,China,81953,46,3339,3,77525,1089,141,57.0,2.0
